a b c d e f g h i
1 -999 -0.369 -0.7515 0.0176 -999 -999 -999 -999
2 -999 -0.3548 -0.7328 0.0292 -999 -999 -999 -999
3 -999 -0.312 -0.7308 0.0821 -999 -999 -999 -999
4 -999 -0.3041 -0.6638 0.1169 -999 -999 -999 -999
5 -999 -0.3034 -0.6808 0.0913 -999 -999 -999 -999
6 -999 -0.2277 -0.6438 0.1492 -999 -999 -999 -999
7 -999 -0.2207 -0.6725 0.1595 -999 -999 -999 -999
8 -999 -0.2703 -0.6887 0.1591 -999 -999 -999 -999
9 -999 -0.2719 -0.6688 0.1088 -999 -999 -999 -999
10 -999 -0.2658 -0.6738 0.1129 -999 -999 -999 -999
11 -999 -0.2677 -0.6469 0.0896 -999 -999 -999 -999
12 -999 -0.3156 -0.7469 0.0889 -999 -999 -999 -999
13 -999 -0.269 -0.6423 0.1502 -999 -999 -999 -999
14 -999 -0.233 -0.615 0.1616 -999 -999 -999 -999
15 -999 -0.2719 -0.6708 0.1045 -999 -999 -999 -999
16 -999 -0.3368 -0.6918 0.0341 -999 -0.2662 -0.5154 0.0628
17 -999 -0.2301 -0.618 0.1014 -999 -0.2647 -0.5146 0.0632
18 -999 -0.2122 -0.6138 0.1349 -999 -0.2638 -0.512 0.065
19 -999 -0.2337 -0.6019 0.1092 -999 -0.2621 -0.5109 0.0673
20 -999 -0.3365 -0.7118 0.0394 -999 -0.2602 -0.5122 0.0684
21 -999 -0.3445 -0.8148 0.0299 -999 -0.258 -0.5113 0.0699
22 -999 -0.2255 -0.6188 0.1103 -999 -0.2573 -0.5107 0.071
23 -999 -0.2774 -0.6998 0.0663 -999 -0.2558 -0.5113 0.0733
24 -999 -0.2197 -0.6888 0.1691 -999 -0.2547 -0.5105 0.075
25 -999 -0.2287 -0.6148 0.0957 -999 -0.2532 -0.5095 0.0757
26 -999 -0.1778 -0.6158 0.1384 -999 -0.2515 -0.5089 0.0788
27 -999 -0.093 -0.5003 0.2925 -999 -0.2499 -0.5089 0.0793
28 -999 -0.2339 -0.6178 0.1023 -999 -0.2488 -0.5086 0.0797
29 -999 -0.335 -0.7861 0.0514 -999 -0.2482 -0.506 0.0811
30 -999 -0.207 -0.6478 0.1242 -999 -0.2463 -0.5046 0.0811
31 -999 -0.2369 -0.6728 0.1121 -999 -0.2445 -0.5039 0.0838
32 -999 -0.1279 -0.5188 0.232 -999 -0.242 -0.5029 0.0854
33 -999 -0.1931 -0.6279 0.1645 -999 -0.2396 -0.5031 0.0865
34 -999 -0.1117 -0.5278 0.2404 -999 -0.2368 -0.5024 0.0873
35 -999 -0.0936 -0.5278 0.257 -999 -0.2346 -0.5031 0.0886
36 -999 -0.2057 -0.7088 0.2194 -999 -0.233 -0.5014 0.0891
37 -999 -0.1835 -0.6348 0.1746 -999 -0.2313 -0.5029 0.0891
38 -999 -0.1491 -0.6548 0.209 -999 -0.2299 -0.5001 0.0901
39 -999 -0.1071 -0.6028 0.2982 -999 -0.2286 -0.4987 0.0901
40 -999 -0.2378 -0.7918 0.1574 -999 -0.2274 -0.4995 0.0892
41 -999 -0.1316 -0.6028 0.2729 -999 -0.2268 -0.4971 0.0879
42 -999 -0.1245 -0.587 0.2139 -999 -0.2261 -0.4965 0.0873
43 -999 -0.1353 -0.631 0.1902 -999 -0.2259 -0.4951 0.0873
44 -999 -0.1994 -0.6846 0.1517 -999 -0.2257 -0.4946 0.0876
45 -999 -0.1781 -0.6888 0.1772 -999 -0.2258 -0.4928 0.0885
46 -999 -0.2028 -0.6888 0.1347 -999 -0.2259 -0.4935 0.091
47 -999 -0.2238 -0.7196 0.1163 -999 -0.2262 -0.491 0.0936
48 -999 -0.2875 -0.7138 0.0698 -999 -0.2265 -0.489 0.0966
49 -999 -0.2086 -0.5549 0.1341 -999 -0.2262 -0.486 0.1006
50 -999 -0.2769 -0.6533 0.0927 -999 -0.2259 -0.4858 0.1045
51 -999 -0.2758 -0.6668 0.1024 -999 -0.226 -0.4857 0.1085
52 -999 -0.2353 -0.6286 0.1441 -999 -0.2258 -0.4846 0.1131
53 -999 -0.2087 -0.6065 0.1678 -999 -0.2254 -0.4839 0.1174
54 -999 -0.1013 -0.4989 0.2968 -999 -0.2247 -0.4828 0.1218
55 -999 -0.1778 -0.5801 0.2672 -999 -0.2236 -0.479 0.126
56 -999 -0.2424 -0.6399 0.1551 -999 -0.2217 -0.4768 0.1304
57 -999 -0.2721 -0.6799 0.1791 -999 -0.22 -0.4719 0.1339
58 -999 -0.1776 -0.6218 0.2752 -999 -0.2181 -0.4705 0.1368
59 -999 -0.301 -0.7039 0.2645 -999 -0.2159 -0.4685 0.1397
60 -999 -0.1737 -0.5839 0.3563 -999 -0.2131 -0.4655 0.1422
61 -999 -0.0703 -0.4893 0.5259 -999 -0.2107 -0.4637 0.1439
62 -999 -0.2218 -0.5659 0.3091 -999 -0.2088 -0.4588 0.1452
63 -999 -0.1623 -0.5259 0.3305 -999 -0.2062 -0.4555 0.1459
64 -999 -0.0599 -0.4338 0.3862 -999 -0.204 -0.4514 0.1464
65 -999 -0.1619 -0.5311 0.2621 -999 -0.2018 -0.449 0.146
66 -999 -0.1756 -0.6478 0.3246 -999 -0.1992 -0.4478 0.1445
67 -999 -0.1728 -0.5939 0.2427 -999 -0.198 -0.4461 0.1428
68 -999 -0.0891 -0.5215 0.3182 -999 -0.1959 -0.4438 0.1401
69 -999 -0.2049 -0.6819 0.2137 -999 -0.1941 -0.4423 0.1379
70 -999 -0.1635 -0.5918 0.2238 -999 -0.1935 -0.4416 0.1345
71 -999 -0.1048 -0.4968 0.2661 -999 -0.192 -0.4396 0.131
72 -999 -0.0252 -0.4258 0.3747 -999 -0.1906 -0.4389 0.1281
73 -999 -0.153 -0.5738 0.2128 -999 -0.1903 -0.4384 0.1251
74 -999 -0.1579 -0.5478 0.2501 -999 -0.1907 -0.4385 0.1217
75 -999 -0.1047 -0.4868 0.3044 -999 -0.191 -0.436 0.1185
76 -999 -0.1877 -0.5189 0.1571 -999 -0.1916 -0.4344 0.1156
77 -999 -0.1179 -0.46 0.2219 -999 -0.1922 -0.4348 0.1146
78 -999 -0.2497 -0.6073 0.1461 -999 -0.1934 -0.4359 0.1113
79 -999 -0.0497 -0.4118 0.3355 -999 -0.1944 -0.4364 0.1112
80 -999 -0.0639 -0.4348 0.2804 -999 -0.1961 -0.4358 0.11
81 -999 -0.185 -0.5818 0.2132 -999 -0.1978 -0.4373 0.1094
82 -999 -0.1685 -0.5218 0.2072 -999 -0.1996 -0.4371 0.1093
83 -999 -0.2688 -0.6068 0.0775 -999 -0.2016 -0.4369 0.1082
84 -999 -0.2818 -0.6149 0.1128 -999 -0.2042 -0.4371 0.1072
85 -999 -0.2524 -0.6168 0.0983 -999 -0.2064 -0.4365 0.1066
86 -999 -0.1401 -0.5408 0.2699 -999 -0.2096 -0.4372 0.1064
87 -999 -0.1638 -0.5189 0.2056 -999 -0.212 -0.4393 0.1051
88 -999 -0.0234 -0.3849 0.3803 -999 -0.2138 -0.439 0.1053
89 -999 -0.0669 -0.4398 0.3263 -999 -0.2162 -0.4405 0.1045
90 -999 -0.2149 -0.5513 0.1146 -999 -0.2182 -0.4401 0.1039
91 -999 -0.1539 -0.5038 0.1854 -999 -0.2212 -0.4431 0.1029
92 -999 -0.1653 -0.5248 0.1783 -999 -0.2249 -0.4451 0.1025
93 -999 -0.1319 -0.4866 0.2222 -999 -0.2274 -0.4467 0.1018
94 -999 -0.2558 -0.6489 0.13 -999 -0.2307 -0.4492 0.1012
95 -999 -0.3914 -0.795 0.0161 -999 -0.2335 -0.4521 0.1017
96 -999 -0.2901 -0.647 0.0725 -999 -0.2363 -0.4569 0.1001
97 -999 -0.3847 -0.7326 -0.005 -999 -0.2381 -0.4589 0.1008
98 -999 -0.31 -0.6569 0.0371 -999 -0.2396 -0.4622 0.0997
99 -999 -0.1909 -0.6178 0.1777 -999 -0.241 -0.4632 0.1003
100 -999 -0.2536 -0.7469 0.1462 -999 -0.2434 -0.4639 0.1012
101 -999 -0.2043 -0.6678 0.1508 -999 -0.2439 -0.4666 0.1023
102 -999 -0.1939 -0.6808 0.227 -999 -0.2456 -0.4683 0.1046
103 -999 -0.1717 -0.578 0.2199 -999 -0.2468 -0.4696 0.1052
104 -999 -0.2135 -0.6248 0.1783 -999 -0.2471 -0.4699 0.107
105 -999 -0.197 -0.5618 0.1775 -999 -0.2473 -0.4707 0.1049
106 -999 -0.2507 -0.6629 0.1616 -999 -0.2484 -0.4713 0.1059
107 -999 -0.1999 -0.6188 0.1847 -999 -0.2486 -0.47 0.1049
108 -999 -0.2344 -0.6162 0.1537 -999 -0.2486 -0.4712 0.1027
109 -999 -0.3099 -0.7228 0.127 -999 -0.2491 -0.4718 0.1019
110 -999 -0.1205 -0.5249 0.3334 -999 -0.2482 -0.4718 0.1049
111 -999 -0.1289 -0.5018 0.2596 -999 -0.2481 -0.4728 0.1077
112 -999 -0.2505 -0.6748 0.1643 -999 -0.248 -0.4741 0.1104
113 -999 -0.2626 -0.6779 0.1716 -999 -0.248 -0.474 0.1122
114 -999 -0.2088 -0.6099 0.1425 -999 -0.247 -0.4741 0.1137
115 -999 -0.1689 -0.5589 0.2129 -999 -0.2463 -0.4741 0.1162
116 -999 -0.1928 -0.5549 0.166 -999 -0.2458 -0.4742 0.1169
117 -999 -0.0928 -0.5238 0.4096 -999 -0.2453 -0.476 0.119
118 -999 -0.2177 -0.6469 0.1808 -999 -0.2439 -0.476 0.1202
119 -999 -0.2564 -0.6718 0.1459 -999 -0.243 -0.476 0.121
120 -999 -0.1828 -0.5588 0.1901 -999 -0.2419 -0.4766 0.1214
121 -999 -0.1978 -0.5358 0.2021 -999 -0.2411 -0.477 0.1216
122 -999 -0.2038 -0.5839 0.1983 -999 -0.2399 -0.4766 0.1215
123 -999 -0.3094 -0.7009 0.1177 -999 -0.2389 -0.476 0.1218
124 -999 -0.1496 -0.5898 0.3083 -999 -0.2374 -0.476 0.1217
125 -999 -0.1463 -0.5478 0.2761 -999 -0.2363 -0.4754 0.1215
126 -999 -0.2722 -0.6529 0.1467 -999 -0.235 -0.4754 0.1221
127 -999 -0.2302 -0.6178 0.1871 -999 -0.2335 -0.4752 0.1216
128 -999 -0.2651 -0.6738 0.1715 -999 -0.2312 -0.4754 0.1212
129 -999 -0.2198 -0.6336 0.2017 -999 -0.229 -0.4751 0.1214
130 -999 -0.2959 -0.6808 0.1338 -999 -0.2268 -0.4751 0.1232
131 -999 -0.1299 -0.5278 0.2569 -999 -0.2258 -0.4745 0.1221
132 -999 -0.2245 -0.5994 0.1598 -999 -0.2239 -0.4733 0.1231
133 -999 -0.2833 -0.6938 0.1386 -999 -0.2222 -0.473 0.1265
134 -999 -0.2159 -0.6238 0.1814 -999 -0.2205 -0.4717 0.1274
135 -999 -0.1918 -0.5298 0.1731 -999 -0.2189 -0.4722 0.1291
136 -999 -0.1433 -0.5218 0.2184 -999 -0.2171 -0.4703 0.1354
137 -999 -0.1906 -0.7168 0.2391 -999 -0.2162 -0.4677 0.1371
138 -999 -0.2121 -0.654 0.1822 -999 -0.2151 -0.467 0.1389
139 -999 -0.1188 -0.5289 0.2203 -999 -0.2138 -0.4638 0.1428
140 -999 -0.0559 -0.4618 0.3644 -999 -0.2119 -0.4634 0.1462
141 -999 -0.1851 -0.5938 0.2103 -999 -0.21 -0.4625 0.1483
142 -999 -0.193 -0.6013 0.2073 -999 -0.2083 -0.4614 0.1491
