481505.45797393	-1621170.79667857	163.45800462 -74.5260292298 26.272 58476.6461458
481505.45861143	-1621170.79467819	163.45800458 -74.5260292455 26.262 58476.6463194
481505.45786099	-1621170.79733501	163.45800463 -74.5260292244 26.267 58476.6464931
481505.46026007	-1621170.79742992	163.458004553 -74.5260292174 26.266 58476.6466667
481505.46181241	-1621170.79508862	163.45800448 -74.5260292337 26.266 58476.6468403
481505.45764670	-1621170.79609518	163.458004625 -74.5260292357 26.27 58476.6470139
481505.46010871	-1621170.79629829	163.458004547 -74.5260292276 26.277 58476.6471875
481505.45969022	-1621170.79551130	163.458004553 -74.5260292355 26.258 58476.6473611
481505.45935407	-1621170.79624558	163.458004571 -74.52602923 26.27 58476.6475347
481505.46047686	-1621170.79701948	163.458004542 -74.5260292204 26.269 58476.6477083
481505.46048506	-1621170.79383332	163.458004511 -74.526029248 26.26 58476.6478819
481505.46021155	-1621170.79394916	163.458004521 -74.5260292477 26.269 58476.6480556
481505.46380511	-1621170.79319329	163.458004397 -74.526029245 26.255 58476.6482292
481505.45968909	-1621170.79260476	163.458004525 -74.5260292607 26.266 58476.6484028
481505.45585000	-1621170.79263763	163.45800465 -74.5260292703 26.282 58476.6485764
481505.45748847	-1621170.79348907	163.458004605 -74.5260292587 26.274 58476.64875
481505.45835924	-1621170.79299974	163.458004572 -74.5260292607 26.282 58476.6489236
481505.46076494	-1621170.79394629	163.458004503 -74.5260292463 26.255 58476.6490972
481505.45672399	-1621170.79236651	163.458004619 -74.5260292704 26.274 58476.6492708
481505.45986192	-1621170.79235733	163.458004517 -74.5260292624 26.27 58476.6494444
481505.45978047	-1621170.79311977	163.458004527 -74.526029256 26.263 58476.6496181
481505.45733364	-1621170.79151639	163.458004591 -74.5260292762 26.27 58476.6497917
481505.46007533	-1621170.79131345	163.4580045 -74.5260292709 26.261 58476.6499653
481505.45802184	-1621170.79051606	163.458004559 -74.5260292831 26.274 58476.6501389
481505.45749106	-1621170.79204640	163.458004591 -74.5260292712 26.272 58476.6503125
481505.45765739	-1621170.79125874	163.458004578 -74.5260292776 26.273 58476.6504861
481505.46042459	-1621170.79197104	163.458004495 -74.5260292643 26.256 58476.6506597
481505.45995613	-1621170.79205250	163.458004511 -74.5260292648 26.271 58476.6508333
481505.46177527	-1621170.78853611	163.458004418 -74.5260292906 26.266 58476.6510069
481505.45864464	-1621170.79116162	163.458004545 -74.5260292759 26.268 58476.6511806
481505.45861921	-1621170.79045399	163.458004539 -74.5260292821 26.272 58476.6513542
481505.45768242	-1621170.79092832	163.458004574 -74.5260292804 26.265 58476.6515278
481505.45651220	-1621170.78947640	163.458004598 -74.526029296 26.283 58476.6517014
481505.45915141	-1621170.79255682	163.458004542 -74.5260292625 26.272 58476.651875
481505.45513448	-1621170.78805150	163.458004629 -74.5260293119 26.278 58476.6520486
481505.45534832	-1621170.78814948	163.458004623 -74.5260293105 26.27 58476.6522222
481505.45646877	-1621170.79098888	163.458004614 -74.526029283 26.274 58476.6523958
481505.45573024	-1621170.79192341	163.458004647 -74.5260292768 26.267 58476.6525694
481505.45834846	-1621170.78954238	163.458004539 -74.5260292907 26.255 58476.6527431
481505.45680423	-1621170.78848991	163.458004579 -74.5260293038 26.262 58476.6529167
481505.45538388	-1621170.79065359	163.458004646 -74.5260292887 26.271 58476.6530903
481505.45395627	-1621170.79030475	163.458004689 -74.5260292954 26.268 58476.6532639
481505.45751641	-1621170.79254642	163.458004595 -74.5260292668 26.264 58476.6534375
481505.45573093	-1621170.79368810	163.458004664 -74.5260292615 26.258 58476.6536111
481505.45330380	-1621170.79422442	163.458004748 -74.5260292631 26.269 58476.6537847
481505.45579422	-1621170.79473054	163.458004672 -74.5260292523 26.257 58476.6539583
481505.45396571	-1621170.79033655	163.458004689 -74.5260292951 26.268 58476.6541319
481505.45476168	-1621170.79156511	163.458004675 -74.5260292824 26.263 58476.6543056
481505.45584044	-1621170.79229442	163.458004647 -74.5260292733 26.262 58476.6544792
481505.45157963	-1621170.79132209	163.458004776 -74.5260292927 26.256 58476.6546528
481505.45528976	-1621170.79116603	163.458004654 -74.5260292845 26.258 58476.6548264
481505.45385814	-1621170.78862668	163.458004676 -74.5260293102 26.253 58476.655
481505.45283045	-1621170.78983166	163.458004721 -74.5260293024 26.252 58476.6551736
481505.45108849	-1621170.78966847	163.458004776 -74.5260293083 26.248 58476.6553472
481505.45222690	-1621170.79018395	163.458004744 -74.5260293009 26.246 58476.6555208
481505.45120913	-1621170.79266640	163.458004801 -74.526029282 26.244 58476.6556944
481505.45385924	-1621170.79142941	163.458004703 -74.5260292859 26.237 58476.6558681
481505.45055468	-1621170.79149962	163.458004811 -74.5260292938 26.239 58476.6560417
481505.45052029	-1621170.79200585	163.458004817 -74.5260292895 26.233 58476.6562153
481505.45246310	-1621170.79118657	163.458004746 -74.5260292916 26.239 58476.6563889
481505.45341560	-1621170.79066143	163.45800471 -74.5260292937 26.238 58476.6565625
481505.45289301	-1621170.78900562	163.458004711 -74.5260293094 26.243 58476.6567361
481505.45290383	-1621170.79256679	163.458004745 -74.5260292785 26.225 58476.6569097
481505.45261394	-1621170.79096874	163.458004739 -74.5260292931 26.231 58476.6570833
481505.45345943	-1621170.79018700	163.458004704 -74.5260292977 26.229 58476.6572569
481505.44973700	-1621170.79102730	163.458004833 -74.5260293 26.237 58476.6574306
481505.45085571	-1621170.78940308	163.458004781 -74.5260293112 26.236 58476.6576042
481505.45293709	-1621170.78915402	163.458004711 -74.526029308 26.24 58476.6577778
481505.45376119	-1621170.78995896	163.458004692 -74.5260292989 26.226 58476.6579514
481505.45205628	-1621170.78805447	163.458004729 -74.5260293198 26.234 58476.658125
481505.45206355	-1621170.79056699	163.458004753 -74.526029298 26.229 58476.6582986
481505.45103295	-1621170.79238420	163.458004804 -74.5260292849 26.234 58476.6584722
481505.45221144	-1621170.79085759	163.458004751 -74.5260292951 26.24 58476.6586458
481505.45118915	-1621170.78980006	163.458004774 -74.5260293069 26.231 58476.6588194
481505.45174924	-1621170.79085644	163.458004766 -74.5260292963 26.245 58476.6589931
481505.44933736	-1621170.79020011	163.458004838 -74.5260293082 26.248 58476.6591667
481505.45339005	-1621170.78964239	163.458004701 -74.5260293026 26.227 58476.6593403
481505.45153107	-1621170.78773752	163.458004743 -74.5260293239 26.237 58476.6595139
481505.45100582	-1621170.78731677	163.458004756 -74.5260293289 26.238 58476.6596875
481505.45088344	-1621170.78794141	163.458004766 -74.5260293238 26.234 58476.6598611
481505.45051133	-1621170.78513352	163.458004751 -74.5260293491 26.237 58476.6600347
481505.44915370	-1621170.78688637	163.458004812 -74.5260293374 26.236 58476.6602083
481505.44924480	-1621170.78667475	163.458004807 -74.526029339 26.225 58476.6603819
481505.45230899	-1621170.78299620	163.458004672 -74.526029363 26.231 58476.6605556
481505.44840322	-1621170.78135319	163.458004783 -74.5260293873 26.235 58476.6607292
